population,area,gdp,administrative_level,airport,train_station,climate_type,travel resort,city
378356,83000,173.1亿,地区,大兴安岭鄂伦春机场、漠河古莲机场,加格达奇站、漠河站、塔河站,温带季风气候,北极村、呼中自然保护区、雅克萨古战场、神州北极、映山红滑雪场,大兴安岭地区
2480.26万,6340.5,53926.71亿,直辖市,上海虹桥国际机场、上海浦东国际机场,上海站、上海南站、上海虹桥站、上海松江站、上海西站,亚热带季风气候,东方明珠广播电视塔、上海野生动物园、上海科技馆、上海中心、豫园,上海市
957.70万,6587.04,18500.81亿,地级市,南京禄口国际机场、南京马鞍国际机场,南京站、南京南站、南京北站,北亚热带湿润气候,中山陵、夫子庙、雨花台风景区、侵华日军南京大屠杀遇难同胞纪念馆,南京市
750.50万,4627.47,16263.29亿,地级市,无锡硕放机场、无锡丁蜀通用机场,无锡站、无锡东站、无锡新区站、宜兴站、惠山站、江阴站,亚热带季风气候,无锡市鼋头渚景区、惠山古镇景区、无锡市灵山景区、东林书院、南禅寺,无锡市
901万,11765,9537.12亿,地级市,徐州观音国际机场、徐州空军机场,徐州站、徐州东站、徐州西站、徐州北站、徐州南站,温带季风气候,云龙湖、云龙山、淮海战役烈士纪念塔园林、彭祖园、潘安湖、户部山、徐州博物馆、悬水湖、徐州龟山景区、宝莲寺、徐州汉文化景区、督公湖、金龙湖、徐州乐园、徐州方特乐园、徐州园博园、大龙湖、徐州九顶山野生动物园,徐州市
538.60万,4385,10813.59亿,地级市,常州奔牛国际机场,常州站、常州北站、武进站、金坛站、戚墅堰站、溧阳站、瓦屋山站,亚热带季风气候,中国春秋淹城旅游区、环球恐龙城、茅山、天目湖、天宁寺、陈渡草堂、青果巷,常州市
1298.7万,8657.32,26727.0亿,地级市,苏州工业园区直升机场、苏州光福机场,苏州站、苏州北站、苏州园区站、苏州新区站、昆山南站、阳澄湖站、昆山站、花桥站、太仓站、太仓南站、张家港站、常熟站、苏州南站、盛泽站,亚热带季风海洋性气候,拙政园、狮子林、沧浪亭、留园、周庄古镇、虎丘、寒山寺、金鸡湖,苏州市
775.0万,8001,12421.9亿,地级市,南通兴东国际机场、南通新机场,南通站、南通西站、南通东站、如皋站、如皋南站、如皋西站、海门站、启东站、吕四站、海安站、如东站、栟茶站,亚热带季风气候,濠河风景区、狼山名胜风景区、啬园、南通博物苑、水绘园、南通森林野生动物园、七战七捷纪念馆、军山、光孝塔、文峰塔,南通市
458.17万,7615,4663.13亿,地级市,连云港花果山国际机场,连云港站、连云港东站、东海县站、赣榆站、灌云站、灌南站,温带季风气候,花果山、连岛、海上云台山、孔望山、桃花涧、连云港老街,连云港市
452.35万,10030,5413.02亿,地级市,淮安涟水国际机场,淮安站、淮安东站、淮安南站,暖温带向亚热带过渡的季风气候,周恩来纪念馆、淮安方特东方欲晓、洪泽湖古堰、里运河文化长廊、五岛湖风景区、张纯如纪念馆、淮安西游乐园、清晏园、明祖陵,淮安市
667.1万,17700,7779.2亿,地级市,盐城南洋国际机场,盐城站、盐城大丰站,亚热带季风性气候,江苏大丰麋鹿国家级自然保护区、新四军纪念馆、大纵湖旅游景区、荷兰花海、江苏盐城湿地珍禽国家级自然保护区、盐城大洋湾旅游风景区、江苏黄海海滨国家森林公园、西溪旅游文化景区、泰山庙、九龙口72-73,盐城市
458.68万,6591,7809.64亿,地级市,扬州泰州国际机场、高邮机场,扬州站、扬州东站、高邮站、高邮北站、宝应站、江都站,亚热带季风性湿润气候向温带季风气候的过渡区,扬州市瘦西湖风景区、盂城驿、江苏省仪征市枣林湾生态园、大明寺、个园、何园、凤凰岛生态旅游区、东关街、史可法纪念馆,扬州市
322.80万,3840,5540.01亿,地级市,常州奔牛国际机场、镇江大路通用机场,镇江站、镇江南站、丹徒站、大港南站,亚热带季风气候,三山、南山、西津渡、茅山、宝华山、扬中园博园、圌山,镇江市
447.40万,5787.98,7020.95亿,地级市,扬州泰州国际机场,泰州站、姜堰站、泰州南站,亚热带季风气候,江苏姜堰溱湖国家湿地公园、凤城河风景区、梅兰芳公园、光孝寺,泰州市
498.00万,8555,4801.85亿,地级市,,宿迁站、泗阳站、沭阳站、洋河站、泗洪站,温带季风气候,洪泽湖湿地公园、三台山国家森林公园、皂河龙运城、项王故里、妈祖文化园、龙王庙行宫,宿迁市
1262.4万,16850,21860亿,地级市,杭州萧山国际机场,杭州站、杭州东站、杭州南站、杭州西站,亚热带季风气候,西湖、京杭大运河、浙江杭州西溪国家湿地公园、灵隐寺、六和塔、千岛湖风景区、良渚古城遗址,杭州市
977.7万,9816,18147.7亿,地级市,宁波栎社国际机场,宁波站、余姚北站、奉化站,亚热带季风气候,天一阁、宁波市溪口－滕头旅游景区、四明山、宁波老外滩、东钱湖、天童寺、阿育王寺、保国寺,宁波市
985.2万,12102.65,9718.8亿,地级市,温州龙湾国际机场,温州站、温州南站、温州北站、温州东站,亚热带季风气候,雁荡山、楠溪江、百丈漈、南麂岛、江心屿、印象南塘,温州市
558.4万,3915,7569.53亿,地级市,嘉兴机场,嘉兴站、嘉兴南站,亚热带季风气候,南湖、乌镇、西塘、钱江潮、南北湖、绮园,嘉兴市
346.5万,5820,4213.4亿,地级市,,湖州站、德清站、长兴站、安吉站、湖州东站、湖州南浔站,亚热带季风气候,南浔古镇、太湖旅游度假区、小西街、衣裳街、莫干山、安吉云上草原、太湖龙之梦乐园,湖州市
542.9万,8274.79,8369亿,地级市,仅25千米,绍兴站、绍兴北站、绍兴东站、皋埠站、诸暨站、上虞站、嵊州新昌站嵊州北站、新昌北站,亚热带季风气候,鉴湖、兰亭、沈园、禹陵、绍兴鲁迅故里,绍兴市
720.9万,10942,6925.52亿,地级市,义乌机场,金华站、金华南站、义乌站、东阳北站、永康南站、横店站、武义北站,亚热带季风气候,双龙洞、横店影视城、永康方岩、百杖潭、诸葛八卦村、俞源太极星象村、陈望道故居、乐顺堂,金华市
229.9万,8844,2262.83亿,地级市,衢州机场,衢州站，衢州西站,亚热带季风气候,江山江郎山，江山廿八都古镇，龙游石窟，烂柯山，药王山,衢州市
117.6万,22200,2226.2亿,地级市,舟山普陀山国际机场,舟山站、金塘站、马岙站,亚热带季风气候,普陀山、朱家尖、桃花岛、东极岛、衢山岛、枸杞岛,舟山市
672.9万,10050.43,6656.40亿,地级市,台州路桥机场,台州站、台州西站、温岭站、临海站、三门县站、天台山站,亚热带季风气候,天台山、神仙居、台州府城文化旅游区、长屿硐天,台州市
253.2万,17300,2181.2亿,地级市,选址已经通过,丽水站、缙云站、青田站,亚热带季风气候,仙都、万象山、白云山、古堰画乡、九龙湿地、南明山、遂昌金矿国家矿山公园、石门洞、云和梯田景区,丽水市
1000.2万,11445,13507.69亿,地级市,合肥新桥国际机场、肥东白龙机场,合肥站、合肥南站、合肥西站、合肥北城站,亚热带季风气候,淮河路步行街、包公园、三河古镇、巢湖风景名胜区、紫蓬山、李鸿章故居、渡江战役纪念馆、骆岗公园,合肥市
379.7万,6009.02,5120.5亿,地级市,芜湖宣州机场,芜湖站、芜湖南站、芜湖北站、繁昌西站、湾沚南站、南陵站、无为站,亚热带湿润季风气候,芜湖方特旅游度假区、红色山水涧风景区、大浦乡村世界、王稼祥纪念园、鸠兹风景区、赭山公园,芜湖市
326.2万,5951,2313亿,地级市,蚌埠滕湖机场,蚌埠站、蚌埠南站,温带季风气候、亚热带季风气候,,蚌埠市
301.9万,5650,1716.0亿,地级市,S1线寿县段项目开工,淮南站、淮南东站、淮南南站、凤台南站、寿县站,亚热带季风气候,八公山，上窑山，舜耕山，龙湖公园，茅仙洞，安丰塘，寿县古城,淮南市
220.1万,404913.15,2784.65亿,地级市,仅30千米,马鞍山站，马鞍山东站，当涂东站，含山南站，含山站,亚热带季风气候,褒禅山、采石矶、乌江镇、雨山湖、鸡笼山、濮塘自然风景区、太湖山国家森林公园,马鞍山市
193.2万,2741,1405.9亿,地级市,约90千米,淮北站、淮北北站、淮北西站、双堆集站,暖温带湿润季风气候,相山公园、南湖、龙脊山、临涣古镇、华家湖、双堆烈士陵园,淮北市
130.2万,2991.87,1325.5亿,地级市,和,铜陵站、铜陵北站,北亚热带季风气候,天井湖、铜陵西湖城市湿地公园、铜陵市博物馆、铜官山1978文创园、凤凰山、犁桥水镇、永泉旅游度假区、铜陵淡水豚国家级自然保护区、大通古镇、浮山、旗山汉武文化生态园,铜陵市
409.8万,13590,3156亿,地级市,安庆天柱山机场,安庆站、安庆西站,北亚热带湿润气候,菱湖风景区、独秀园、薛家岗遗址、六尺巷、孔雀东南飞文化园、迎江寺、振风塔、天柱山、鹞落坪,安庆市
131.7万,9678,1134.0亿,地级市,黄山屯溪国际机场,黄山北站、歙县北站、三阳站、黄山西站、黟县站、祁门站,亚热带季风湿润性气候,黄山、西递、宏村、齐云山、呈坎、屯溪老街、徽州古城,黄山市
405.6万,13500,4034.4亿,地级市,明光女山湖机场,滁州站、全椒站、滁州北站、定远站,北亚热带向南温带过渡性气候,醉翁亭、琅琊山、凤阳小岗村,滁州市
804.1万,10118,3609.8亿,地级市,阜阳机场,阜阳站、阜阳西站、界首南站、阜南站、临泉站、太和北站、颍上站、太和东站,温带季风气候,管仲老街、八里河、颍州西湖、阜阳生态园、迪沟生态旅游风景区、殿顶子遗址,阜阳市
522.5万,9939,2457.3亿,地级市,宿州机场,宿州站、宿州东站、宿州西站,温带季风气候,皇藏峪、钟馗文化园、五柳风景名胜区、虞姬墓、涉故台、蕲县古城遗址、乐天园、闵子骞祠、黄河故道,宿州市
