Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
2-25社会保障主要指标(二),,,,,,,,,
,,,,,,,,,
Main Indicators of Social Security( H ),,,,,,,,,
,,,,,,,,,
城 市,City,提供住宿的 民政机构数 (个) Number of Civil Affairs Institutions with Accommodation (unit),,,,提供住宿的 民政机构床位数 (张) Number of Beds in Civil Affairs Institutions with Accommodation (bed),,,
,,,,养老机构数 (个) Number of Institutions for the Aged (unit),,,,养老机构床位数 (张) Number of Beds in Institutions for the Aged (bed),
,,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City,全市 Total City,市辖区 Districts under City
  晋中市,  Jinzhong,92,30,84,30,10380,5232,9894,5232
  运城市,  Yuncheng,213,17,203,17,20009,1884,19746,1884
  忻州市,  Xinzhou,52,8,38,5,6524,756,5563,478
  临汾市,  Linfen,139,20,134,19,10007,2242,9578,2222
  吕梁市,  Lvliang,31,2,28,2,3354,238,3226,238
内蒙古自治区,Inner Mongolia,,,,,,,,
  呼和浩特市,  Hohhot,37,17,33,13,6465,1821,5212,568
  包头市,  Baotou,70,54,67,52,10620,9067,10474,8931
  乌海市,  Wuhai,8,8,8,8,3523,3523,3435,3435
  赤峰市,  Chifeng,134,32,123,30,12074,3586,11854,3462
  通辽市,  Tongliao,177,43,174,42,8399,2059,8039,1909
  鄂尔多斯市,  Erdos,51,18,49,16,8273,2827,8273,2827
  呼伦贝尔市,  Hulunbuir,96,6,89,5,9296,442,8896,412
  巴彦淖尔市,  Bayannur,61,21,56,21,9860,2367,9269,2367
  乌兰察布市,  Ulanqab,515,10,510,7,82691,759,81998,705
辽宁省,Liaoning,,,,,,,,
  沈阳市,  Shenyang,287,229,279,224,40522,33422,39318,32531
  大连市,  Dalian,399,336,391,330,39156,25525,38671,25062
  鞍山市,  Anshan,225,141,219,139,18984,10638,18589,10433
  抚顺市,  Fushun,180,125,177,124,13869,8853,13991,8813
  本溪市,  Benxi,153,129,147,125,10155,8054,10010,7945
  丹东市,  Dandong,160,89,155,87,11006,4688,10619,4403
  锦州市,  Jinzhou,232,97,228,96,11059,3716,10674,3516
  营口市,  Yingkou,164,88,156,85,15450,8235,15057,8026
  阜新市,  Fuxin,98,63,92,59,7525,5030,7322,4879
  辽阳市,  Liaoyang,106,80,104,79,7427,5448,7147,5268
  盘锦市,  Panjin,82,65,76,61,5337,3846,5172,3706
  铁岭市,  Tieling,206,63,192,61,16332,4738,16005,4699
  朝阳市,  Chaoyang,127,33,123,32,10813,3380,10455,3180
  葫芦岛市,  Huludao,91,23,81,19,8193,2557,7860,2241
吉林省,Jilin,,,,,,,,
  长春市,  Changchun,499,253,496,251,49543,32423,48343,31923
  吉林市,  Jilin,,,,,,,,
  四平市,  Siping,72,27,71,26,7760,3315,7260,2815
  辽源市,  Liaoyuan,89,35,85,33,8763,4487,8703,4447
  通化市,  Tonghua,146,45,139,42,9035,4343,8079,3448
  白山市,  Baishan,,,98,53,,265,6240,3939
  松原市,  Songyuan,158,66,156,64,9889,3844,9639,3594
  白城市,  Baicheng,,,129,48,,,7300,7784
黑龙江省,Heilongjiang,,,,,,,,
  哈尔滨市,  Harbin,439,235,430,230,42366,26016,40683,24511
  齐齐哈尔市,  Qiqihar,234,85,223,81,30150,16335,28716,15005
  鸡西市,  Jixi,131,78,126,75,10683,5651,10244,5231
  鹤岗市,  Hegang,112,84,111,83,6485,4345,6230,4090
  双鸭山市,  Shuangyashan,79,8,73,6,5110,1283,4982,1194
  大庆市,  Daqing,140,59,134,57,11396,5299,11281,5204
  伊春市,  Yichun,112,9,100,4,7377,2897,6992,2670
  佳木斯市,  Jiamusi,150,82,142,79,14252,5636,13444,5408
  七台河市,  Qitaihe,36,18,33,16,3659,2245,3551,2137
  牡丹江市,  Mudanjiang,180,66,169,61,16160,7998,14198,6036
  黑河市,  Heihe,122,12,119,9,13212,2045,12618,1451
  绥化市,  Suihua,195,15,183,13,23389,2476,23009,2456
上海市,Shanghai,,,,,,,,
江苏省,Jiangsu,,,,,,,,
  南京市,  Nanjing,350,350,339,339,53065,53065,50581,50581
  无锡市,  Wuxi,180,117,172,112,44939,27311,44339,26861
  徐州市,  Xuzhou,236,121,206,96,46779,19488,46116,18972
  常州市,  Changzhou,126,106,117,99,23677,20415,23497,20345
  苏州市,  Suzhou,199,107,178,98,53081,28681,46263,27597
  南通市,  Nantong,329,161,314,157,58567,27781,57466,27711
  连云港市,  Lianyungang,131,51,119,45,13876,5916,12874,5116
  淮安市,  Huai'an,203,110,196,108,20144,9476,19742,9426
  盐城市,  Yancheng,205,61,193,57,38719,11913,38170,11598
  扬州市,  Yangzhou,148,81,138,76,24112,10290,23571,10021
  镇江市,  Zhenjiang,150,50,145,48,19986,8445,17495,6079
  泰州市,  Taizhou,164,44,158,41,21272,4961,20891,4654
  宿迁市,  Suqian,158,54,149,47,22547,7571,22160,7441
浙江省,Zhejiang,,,,,,,,
  杭州市,  Hangzhou,264,184,247,172,39933,31964,38390,30567
  宁波市,  Ningbo,283,141,266,130,47180,26156,45948,25234
  温州市,  Wenzhou,266,57,250,49,23546,7491,21981,6149
  嘉兴市,  Jiaxing,96,23,84,21,17574,4904,16888,4494
  湖州市,  Huzhou,91,4,84,2,13920,1034,13653,854
  绍兴市,  Shaoxing,126,53,113,45,19757,8212,18906,7598
  金华市,  Jinhua,141,32,128,28,27105,5463,26587,5331
  衢州市,  Quzhou,111,22,109,22,12250,2419,12110,2419
  舟山市,  Zhoushan,75,44,72,42,9041,6738,8875,6592
  台州市,  Taizhou,252,82,242,77,28295,10800,27720,10393
  丽水市,  Lishui,76,21,67,16,9589,3361,9098,2967
安徽省,Anhui,,,,,,,,
  合肥市,  Hefei,178,53,163,52,33095,12239,31188,11351
  芜湖市,  Wuhu,154,79,147,77,16149,9069,15634,9023
  蚌埠市,  Bengbu,151,53,143,53,13720,3892,12405,4352
  淮南市,  Huainan,182,76,178,74,22304,8579,21922,8231
  马鞍山市,  Ma'anshan,130,54,117,50,13239,6693,12439,5893
  淮北市,  Huaibei,60,39,58,38,8378,5438,8128,5118
  铜陵市,  Tongling,65,48,63,46,6578,4919,6154,4869
  安庆市,  Anqing,235,48,227,48,25098,6123,24143,5543
  黄山市,  Huangshan,64,23,58,22,4990,2579,4765,2509
  滁州市,  Chuzhou,175,30,158,26,19228,3062,18616,2912
  阜阳市,  Fuyang,370,101,361,87,39615,10382,38506,10344
  宿州市,  Suzhou,240,75,233,75,29781,8069,29395,8069
  六安市,  Lu'an,294,234,283,231,37982,16661,37122,16121
  亳州市,  Bozhou,180,39,173,39,29483,7062,28228,7062
  池州市,  Chizhou,99,33,96,32,11720,4086,11392,3959
  宣城市,  Xuancheng,177,34,169,33,19506,5085,18945,5075
福建省,Fujian,,,,,,,,
  福州市,  Fuzhou,155,60,145,54,25027,13077,23415,11797
  厦门市,  Xiamen,46,46,45,45,12657,12657,12381,12381
  莆田市,  Putian,67,39,60,34,9357,5298,7956,4267
  三明市,  Sanming,157,27,144,22,13572,3146,12928,2625
  泉州市,  Quanzhou,129,35,104,21,19717,7408,18910,7083
  漳州市,  Zhangzhou,158,44,145,39,14692,5734,13868,5376
  南平市,  Nanping,158,43,145,40,17065,4660,16806,4588
  龙岩市,  Longyan,71,25,65,24,9958,3459,9629,3447
  宁德市,  Ningde,167,22,103,12,15634,3736,10243,1993
江西省,Jiangxi,,,,,,,,
  南昌市,  Nanchang,115,,113,,17881,,16977,
  景德镇市,  Jingdezhen,78,,76,13,4152,,4002,1143
  萍乡市,  Pingxiang,80,38,77,35,10095,4800,9715,4420
  九江市,  Jiujiang,221,53,213,48,21656,7935,20712,7022
  新余市,  Xinyu,80,43,78,41,8073,2896,3820,1689
  鹰潭市,  Yingtan,60,32,58,32,4183,2820,4104,2820
  赣州市,  Ganzhou,329,66,316,63,44402,12007,42752,10899
  吉安市,  Ji'an,177,19,177,19,14000,2100,14000,2100
  宜春市,  Yichun,322,60,322,60,32162,8104,32162,8104
  抚州市,  Fuzhou,126,62,120,58,15128,7953,14354,7093
  上饶市,  Shangrao,245,75,243,73,15910,6041,14910,4641
山东省,Shandong,,,,,,,,
  济南市,  Jinan,166,139,153,129,68979,56517,22785,19635
  青岛市,  Qingdao,331,235,328,232,47285,35978,46655,35348
  淄博市,  Zibo,180,129,179,128,22913,15994,22392,15473
  枣庄市,  Zaozhuang,115,94,112,92,18570,13719,18280,13439
  东营市,  Dongying,98,62,72,44,10331,6277,8944,5051
  烟台市,  Yantai,275,112,260,104,44223,20075,43528,19889
  潍坊市,  Weifang,189,66,182,64,32319,9394,31903,9212
  济宁市,  Jining,255,60,248,57,43487,11681,43108,11439
  泰安市,  Tai'an,149,47,142,44,48156,13280,21811,6950
  威海市,  Weihai,171,102,164,101,40345,22132,40199,22127
  日照市,  Rizhao,74,49,68,44,10868,6715,10570,6429
  临沂市,  Linyi,151,51,145,48,34194,12799,33687,12379
  德州市,  Dezhou,139,35,137,33,19919,7105,19719,6905
  聊城市,  Liaocheng,116,46,108,43,23978,9453,23723,9333
  滨州市,  Binzhou,116,41,105,37,19894,6299,19766,6246
  菏泽市,  Heze,190,63,190,63,36728,10591,36728,10591
河南省,Henan,,,,,,,,
  郑州市,  Zhengzhou,161,51,157,48,27500,9909,26345,8850
  开封市,  Kaifeng,246,144,237,140,19165,11401,18426,10826
  洛阳市,  Luoyang,242,103,235,101,24073,11465,22992,10805
  平顶山市,  Pingdingshan,157,26,149,25,18965,3664,12077,1907
  安阳市,  Anyang,187,66,184,65,17219,7901,16588,7581
  鹤壁市,  Hebi,57,29,52,26,5390,3189,4963,2859
  新乡市,  Xinxiang,296,83,286,81,31915,8343,31713,8243
  焦作市,  Jiaozuo,144,62,134,57,13046,6407,11990,5547
  濮阳市,  Puyang,116,19,110,18,11421,2569,11230,2513
  许昌市,  Xuchang,205,78,197,73,24615,9585,23921,9071
  漯河市,  Luohe,102,50,97,47,11560,6133,11230,5943
  三门峡市,  Sanmenxia,161,53,155,50,14114,4105,13460,3555
  南阳市,  Nanyang,562,91,551,90,61298,9887,60769,9859
  商丘市,  Shangqiu,252,41,242,37,29577,3903,28973,3614
  信阳市,  Xinyang,328,78,316,73,31004,7327,30492,7127
  周口市,  Zhoukou,295,45,283,42,33600,4111,33176,4000
  驻马店市,  Zhumadian,305,35,289,32,27124,5468,25919,4811
湖北省,Hubei,,,,,,,,
  武汉市,  Wuhan,,,269,269,,,48432,48432
  黄石市,  Huangshi,81,36,73,33,10472,4586,9692,3976
  十堰市,  Shiyan,182,72,170,67,23804,11613,22834,10813
  宜昌市,  Yichang,251,97,238,93,26204,10907,25758,10636
  襄阳市,  Xiangyang,208,92,197,87,31691,12336,30916,11628
  鄂州市,  Ezhou,36,36,33,33,6234,6234,6149,6149
  荆门市,  Jingmen,96,29,91,27,14022,4452,13695,4302
  孝感市,  Xiaogan,167,30,153,25,26938,6315,25649,5237
  荆州市,  Jingzhou,203,41,187,37,29276,6313,28546,5892
  黄冈市,  Huanggang,218,20,199,19,30597,2905,29785,2475
  咸宁市,  Xianning,116,27,106,24,14558,4179,13952,3949
  随州市,  Suizhou,119,26,119,26,10106,4162,10106,4162
湖南省,Hunan,,,,,,,,
  长沙市,  Changsha,221,105,203,93,37616,22296,35033,20164
  株洲市,  Zhuzhou,152,58,147,56,17982,8266,17431,7766
  湘潭市,  Xiangtan,139,52,132,50,12025,6226,10673,5531
  衡阳市,  Hengyang,235,50,222,46,27248,4672,26101,3832
  邵阳市,  Shaoyang,158,26,143,26,15348,1484,13600,1484
  岳阳市,  Yueyang,180,27,147,27,23700,5777,16229,4606
  常德市,  Changde,253,46,224,42,30905,8546,25973,7549
  张家界市,  Zhangjiajie,54,30,43,23,6950,2369,6453,2055
  益阳市,  Yiyang,184,71,173,64,17989,8689,16906,7734
  郴州市,  Chenzhou,145,35,108,30,14659,3889,10890,3690
  永州市,  Yongzhou,90,20,77,15,17304,5258,16914,5050
  怀化市,  Huaihua,73,9,66,8,5985,546,5758,446
  娄底市,  Loudi,173,33,83,21,13701,4821,12788,4480
广东省,Guangdong,,,,,,,,
  广州市,  Guangzhou,,,,,,,,
  韶关市,  Shaoguan,151,39,135,38,11160,4189,10671,4177
  深圳市,  Shenzhen,88,88,79,79,14682,14682,13240,13240
  珠海市,  Zhuhai,29,29,23,23,3861,3861,3401,3401
  汕头市,  Shantou,52,50,40,39,2773,2701,2026,1954
  佛山市,  Foshan,106,106,98,98,22057,22057,20998,20998
  江门市,  Jiangmen,95,44,83,40,15064,8536,14087,7748
  湛江市,  Zhanjiang,101,19,89,17,8156,1955,7246,1780
  茂名市,  Maoming,159,46,148,42,23434,6970,22333,6285
  肇庆市,  Zhaoqing,89,40,73,33,8686,3854,8285,3620
  惠州市,  Huizhou,43,26,34,21,6304,4481,5649,3988
  梅州市,  Meizhou,176,45,169,42,10443,3039,10089,2864
  汕尾市,  Shanwei,49,7,40,4,2067,533,1651,429
  河源市,  Heyuan,74,4,70,3,3480,615,3324,515
  阳江市,  Yangjiang,100,46,91,41,11785,6732,11305,6508
  清远市,  Qingyuan,56,17,51,15,5895,2751,5529,2591
  东莞市,  Dongguan,51,,50,,6201,,5879,
  中山市,  Zhongshan,38,,35,,4316,,3955,
  潮州市,  Chaozhou,24,25,19,2,1019,384,854,230
  揭阳市,  Jieyang,35,14,23,12,2620,877,1456,801
  云浮市,  Yunfu,,,153,109,,,4432,1685
广西壮族自治区,Guangxi,,,,,,,,
  南宁市,  Nanning,175,113,166,104,29059,20883,27302,19126
  柳州市,  Liuzhou,95,39,90,36,9653,6310,8923,5640
  桂林市,  Guilin,102,52,87,51,14679,6888,13197,6885
  梧州市,  Wuzhou,66,32,42,27,18377,4991,5231,2774
  北海市,  Beihai,27,19,22,16,4994,3221,4429,2761
  防城港市,  Fangchenggang,12,11,9,7,1317,949,1162,864
  钦州市,  Qinzhou,26,11,17,7,3805,1539,3253,1248
  贵港市,  Guigang,51,33,46,33,6231,3571,6011,3571
  玉林市,  Yulin,49,14,37,10,6708,2505,6135,2023
  百色市,  Baise,49,18,36,14,5889,2559,5558,2324
  贺州市,  Hezhou,38,14,29,9,3791,2140,3311,1870
  河池市,  Hechi,78,21,66,18,8574,1274,7994,1074
  来宾市,  Laibin,38,9,33,7,6010,1000,5910,900
  崇左市,  Chongzuo,25,8,13,5,1158,835,836,620
海南省,Hainan,,,,,,,,
  海口市,  Haikou,34,34,32,32,5335,5335,4817,4817
  三亚市,  Sanya,6,6,5,5,1132,1132,1006,1006
  三沙市,  Sansha,,,,,,,,
  儋州市,  Danzhou,6,,5,,301,,251,
重庆市,Chongqing,1276,932,1223,897,135819,102607,127751,96364
四川省,Sichuan,,,,,,,,
  成都市,  Chengdu,882,455,492,303,76038,45141,68479,39527
  自贡市,  Zigong,176,98,168,96,21868,13519,21466,13171
  攀枝花市,  Panzhihua,72,49,64,45,6384,4194,6384,4194
  泸州市,  Luzhou,211,101,195,91,26293,12098,23149,9759
  德阳市,  Deyang,123,31,114,27,14507,3583,13911,3251
  绵阳市,  Mianyang,290,89,268,81,34355,11505,32162,11139
  广元市,  Guangyuan,102,34,86,29,9763,3862,8737,3317
  遂宁市,  Suining,121,62,99,47,13388,6509,12931,6194
  内江市,  Neijiang,166,75,158,69,18962,7214,18387,6739
  乐山市,  Leshan,132,49,120,43,19787,8442,16462,6748
  南充市,  Nanchong,341,118,315,108,36204,13461,33105,12875
  眉山市,  Meishan,105,27,104,27,14243,4106,13943,4106
  宜宾市,  Yibin,139,49,120,44,16129,4488,13239,4418
  广安市,  Guang'an,167,44,159,42,16183,4426,15983,4031
  达州市,  Dazhou,187,37,178,34,26456,5834,24416,4589
  雅安市,  Ya'an,37,14,25,9,4374,1308,4145,1208
  巴中市,  Bazhong,88,27,75,25,9560,2445,8661,2362
  资阳市,  Ziyang,103,30,95,25,12824,5308,10294,2865
贵州省,Guizhou,,,,,,,,
  贵阳市,  Guiyang,117,99,114,99,12250,8988,11310,8988
  六盘水市,  Liupanshui,47,15,38,12,4504,1380,3631,1026
  遵义市,  Zunyi,260,62,247,55,27265,8937,25175,7057
  安顺市,  Anshun,32,15,24,12,4342,2260,3643,1930
  毕节市,  Bijie,137,4,125,3,7619,944,6333,613
  铜仁市,  Tongren,113,21,107,18,9575,2268,7794,1618
云南省,Yunnnan,,,,,,,,
  昆明市,  Kunming,172,,161,,26630,18578,24540,16544
  曲靖市,  Qujing,120,45,107,40,10446,3129,9605,2924
  玉溪市,  Yuxi,65,13,59,9,5321,1188,5228,621
  保山市,  Baoshan,72,26,71,25,12095,12095,11805,11805
  昭通市,  Zhaotong,68,5,55,3,9582,1579,8756,1387
  丽江市,  Lijiang,22,7,13,2,1898,640,1714,476
  普洱市,  Pu'er,44,1,33,-3,3676,316,3440,196
  临沧市,  Lincang,60,7,51,6,3840,357,3554,352
西藏自治区,Xizang,,,,,,,,
  拉萨市,  Lhasa,31,15,25,15,2949,660,1647,660
  日喀则市,  Xigazê,25,5,22,2,2757,907,2033,183
  昌都市,  Qamdo,13,3,11,1,4100,1926,2500,326
  林芝市,  Nyingchi,10,4,7,1,1677,813,1003,139
  山南市,  Lhoka,14,3,13,2,3292,892,2792,392
  那曲市,  Nagqu,12,1,12,1,2043,434,2043,434
陕西省,Shaanxi,,,,,,,,
  西安市,  Xi'an,194,178,184,171,31882,27705,29644,26555
  铜川市,  Tongchuan,22,20,20,18,2202,1750,2137,1685
  宝鸡市,  Baoji,68,35,57,33,14355,8142,13912,8072
  咸阳市,  Xianyang,49,8,39,7,7191,1260,6737,1080
  渭南市,  Weinan,125,35,112,32,14479,3927,14393,3868
  延安市,  Yan'an,54,12,40,10,6468,1333,5930,1272
  汉中市,  Hanzhong,116,24,104,22,17272,4605,16831,4494
  榆林市,  Yulin,98,7,82,5,11309,1016,10345,816
  安康市,  Ankang,,,184,31,,,24406,5273
  商洛市,  Shangluo,88,11,74,9,7877,835,7298,795
甘肃省,Gansu,,,,,,,,
  兰州市,  Lanzhou,23,16,20,13,4537,2773,3698,2211
  嘉峪关市,  Jiayuguan,11,,10,,898,,828,
  金昌市,  Jinchang,8,4,6,3,1227,691,852,691
  白银市,  Baiyin,22,7,15,6,1602,746,1725,742
  天水市,  Tianshui,19,8,12,4,1634,862,941,394
  武威市,  Wuwei,29,11,27,9,7427,5049,7152,4774
  张掖市,  Zhangye,37,6,31,6,3962,1369,3301,1173
  平凉市,  Pingliang,38,9,32,3,3039,370,2759,280
  酒泉市,  Jiuquan,30,19,29,10,3690,1958,3590,1778
  庆阳市,  Qingyang,37,11,33,4,2151,349,2095,269
  定西市,  Dingxi,69,10,60,9,3705,665,3515,614
  陇南市,  Longnan,62,12,22,3,1843,378,1073,118
青海省,Qinghai,,,,,,,,
  西宁市,  Xining,27,22,24,19,4139,3503,3374,2738
  海东市,  Haidong,,,13,5,12,,1835,403
宁夏回族自治区,Ningxia,,,,,,,,
  银川市,  Yinchuan,39,23,37,22,9643,7194,9503,7098
  石嘴山市,  Shizuishan,27,18,16,7,3889,1392,3889,1392
  吴忠市,  Wuzhong,25,2,21,2,4677,490,4525,490
  固原市,  Guyuan,22,3,22,3,3855,356,3855,356
  中卫市,  Zhongwei,27,14,24,14,5727,2191,5727,2191
新疆维吾尔自治区,Xinjiang,,,,,,,,
  乌鲁木齐市,  Urumqi,47,40,43,38,7824,7172,6383,5731
  克拉玛依市,  Karamay,21,21,6,6,2080,2080,1810,1810
  吐鲁番市,  Turpan,11,5,5,3,721,484,297,180
  哈密市,  Hami,6,4,4,2,1152,952,980,780
